No,Latitude,Longitude,Altitude,Date,Time
1,45.917520,-77.277787,151.5,2013/08/10,09:41:48
2,45.917283,-77.277614,154.9,2013/08/10,09:42:00
3,45.916865,-77.277492,156.3,2013/08/10,09:42:15
4,45.916434,-77.277624,156.8,2013/08/10,09:42:28
5,45.915810,-77.278061,156.3,2013/08/10,09:42:45
6,45.915738,-77.278111,156.3,2013/08/10,09:42:47
7,45.915181,-77.278500,156.3,2013/08/10,09:43:02
8,45.914958,-77.278610,155.9,2013/08/10,09:43:09
9,45.914901,-77.278586,155.9,2013/08/10,09:43:11
10,45.914885,-77.278546,155.4,2013/08/10,09:43:12
11,45.914670,-77.277855,155.9,2013/08/10,09:43:26
12,45.914455,-77.277286,155.4,2013/08/10,09:43:38
13,45.914420,-77.277270,155.4,2013/08/10,09:43:39
14,45.914383,-77.277275,154.9,2013/08/10,09:43:40
15,45.914349,-77.277295,155.4,2013/08/10,09:43:41
16,45.914047,-77.277546,155.4,2013/08/10,09:43:50
17,45.914007,-77.277572,155.4,2013/08/10,09:43:51
18,45.913808,-77.277712,155.9,2013/08/10,09:43:56
19,45.913768,-77.277743,155.9,2013/08/10,09:43:57
20,45.913607,-77.277856,155.9,2013/08/10,09:44:01
21,45.912891,-77.278334,155.4,2013/08/10,09:44:18
22,45.912470,-77.278611,155.4,2013/08/10,09:44:28
23,45.912426,-77.278643,154.9,2013/08/10,09:44:29
24,45.911789,-77.279099,154.9,2013/08/10,09:44:43
25,45.911617,-77.279217,154.9,2013/08/10,09:44:47
26,45.911574,-77.279247,155.4,2013/08/10,09:44:48
27,45.911529,-77.279279,155.4,2013/08/10,09:44:49
28,45.911484,-77.279310,155.4,2013/08/10,09:44:50
29,45.911438,-77.279339,155.4,2013/08/10,09:44:51
30,45.911101,-77.279572,155.4,2013/08/10,09:44:59
31,45.910754,-77.279790,154.9,2013/08/10,09:45:07
32,45.910468,-77.279995,154.9,2013/08/10,09:45:14
33,45.910430,-77.280029,154.9,2013/08/10,09:45:15
34,45.910208,-77.280243,155.4,2013/08/10,09:45:21
35,45.910012,-77.280491,155.4,2013/08/10,09:45:27
36,45.909763,-77.280943,154.4,2013/08/10,09:45:36
37,45.909426,-77.282038,153.9,2013/08/10,09:45:52
38,45.909345,-77.282357,153.9,2013/08/10,09:45:57
39,45.909325,-77.282419,153.9,2013/08/10,09:45:58
40,45.909014,-77.283491,154.4,2013/08/10,09:46:17
41,45.908926,-77.283821,154.4,2013/08/10,09:46:23
42,45.908910,-77.283878,154.9,2013/08/10,09:46:24
43,45.908896,-77.283934,154.4,2013/08/10,09:46:25
44,45.908806,-77.284469,154.4,2013/08/10,09:46:34
45,45.908764,-77.285244,153.5,2013/08/10,09:46:46
46,45.908730,-77.285559,153.9,2013/08/10,09:46:51
47,45.908717,-77.285615,153.9,2013/08/10,09:46:52
48,45.908684,-77.285726,153.9,2013/08/10,09:46:54
49,45.908660,-77.285778,154.4,2013/08/10,09:46:55
50,45.908574,-77.285927,154.4,2013/08/10,09:46:58
51,45.908473,-77.286049,153.9,2013/08/10,09:47:01
52,45.908399,-77.286107,154.4,2013/08/10,09:47:03
53,45.908050,-77.286226,154.4,2013/08/10,09:47:11
54,45.908005,-77.286223,154.4,2013/08/10,09:47:12
55,45.907313,-77.285923,153.9,2013/08/10,09:47:26
56,45.907262,-77.285898,153.9,2013/08/10,09:47:27
57,45.906996,-77.285825,153.5,2013/08/10,09:47:32
58,45.906891,-77.285844,153.9,2013/08/10,09:47:34
59,45.906838,-77.285866,153.5,2013/08/10,09:47:35
60,45.906787,-77.285892,153.5,2013/08/10,09:47:36
61,45.906687,-77.285954,153.5,2013/08/10,09:47:38
62,45.906641,-77.285996,153.5,2013/08/10,09:47:39
63,45.906059,-77.286806,151.5,2013/08/10,09:47:54
64,45.905879,-77.287038,151.5,2013/08/10,09:47:59
65,45.905829,-77.287050,151.1,2013/08/10,09:48:00
66,45.905777,-77.287041,151.1,2013/08/10,09:48:01
67,45.905671,-77.286990,150.1,2013/08/10,09:48:03
68,45.905074,-77.286587,147.2,2013/08/10,09:48:12
69,45.904511,-77.286195,143.4,2013/08/10,09:48:19
70,45.903930,-77.285844,141.0,2013/08/10,09:48:26
71,45.903120,-77.285387,139.5,2013/08/10,09:48:37
72,45.902706,-77.285148,139.1,2013/08/10,09:48:44
73,45.902653,-77.285117,139.1,2013/08/10,09:48:45
74,45.902224,-77.284879,140.0,2013/08/10,09:48:54
75,45.902181,-77.284854,140.0,2013/08/10,09:48:55
76,45.901897,-77.284717,140.5,2013/08/10,09:49:02
77,45.901856,-77.284701,140.5,2013/08/10,09:49:03
78,45.901266,-77.284389,141.4,2013/08/10,09:49:18
79,45.900719,-77.284111,141.0,2013/08/10,09:49:32
80,45.900486,-77.283990,142.9,2013/08/10,09:49:38
81,45.899861,-77.283641,144.3,2013/08/10,09:49:55
82,45.899410,-77.283380,146.3,2013/08/10,09:50:08
83,45.898797,-77.283050,147.2,2013/08/10,09:50:25
84,45.898427,-77.282855,148.2,2013/08/10,09:50:37
85,45.898352,-77.282814,148.2,2013/08/10,09:50:48
86,45.898291,-77.282795,148.2,2013/08/10,09:51:06
87,45.897831,-77.282550,148.2,2013/08/10,09:51:20
88,45.897480,-77.282356,147.2,2013/08/10,09:51:28
89,45.897389,-77.282301,147.2,2013/08/10,09:51:30
90,45.897343,-77.282270,146.7,2013/08/10,09:51:31
91,45.897294,-77.282244,146.7,2013/08/10,09:51:32
92,45.896861,-77.281980,146.3,2013/08/10,09:51:41
93,45.896819,-77.281937,146.7,2013/08/10,09:51:42
94,45.896626,-77.281731,146.7,2013/08/10,09:51:47
95,45.896599,-77.281690,147.2,2013/08/10,09:51:48
96,45.896582,-77.281660,146.7,2013/08/10,09:51:49
97,45.896570,-77.281643,146.7,2013/08/10,09:51:50
98,45.896503,-77.281530,146.7,2013/08/10,09:52:02
99,45.896318,-77.281121,147.2,2013/08/10,09:52:13
100,45.895990,-77.280192,146.7,2013/08/10,09:52:28
101,45.895488,-77.278775,147.2,2013/08/10,09:52:49
102,45.895076,-77.277652,148.2,2013/08/10,09:53:08
103,45.895033,-77.277533,148.2,2013/08/10,09:53:10
104,45.894663,-77.276486,148.2,2013/08/10,09:53:26
105,45.894296,-77.275474,148.7,2013/08/10,09:53:42
106,45.893898,-77.274358,149.6,2013/08/10,09:53:59
