No,Latitude,Longitude,Altitude,Date,Time
1,49.381210,-121.447650,44.8,2013/06/23,11:49:20
2,49.381204,-121.447661,44.8,2013/06/23,11:49:48
3,49.381156,-121.447676,45.3,2013/06/23,11:50:06
4,49.381156,-121.447676,44.8,2013/06/23,11:50:15
5,49.381243,-121.438702,57.8,2013/06/23,12:47:14
6,49.381244,-121.438707,57.8,2013/06/23,12:47:15
7,49.381236,-121.438706,57.8,2013/06/23,12:47:30
8,49.381229,-121.438692,54.9,2013/06/23,12:47:40
9,49.381208,-121.438671,52.5,2013/06/23,12:47:48
10,49.381270,-121.438402,50.6,2013/06/23,12:47:58
11,49.381240,-121.438281,49.6,2013/06/23,12:48:02
12,49.380979,-121.438011,48.2,2013/06/23,12:48:15
13,49.380935,-121.437941,47.7,2013/06/23,12:48:18
14,49.381005,-121.437500,46.8,2013/06/23,12:48:31
15,49.381197,-121.436916,47.7,2013/06/23,12:48:46
16,49.381329,-121.436469,48.7,2013/06/23,12:48:58
17,49.381406,-121.436305,49.2,2013/06/23,12:49:04
18,49.381620,-121.435778,50.6,2013/06/23,12:49:21
19,49.381763,-121.435375,50.6,2013/06/23,12:49:33
20,49.381864,-121.435030,52.0,2013/06/23,12:49:43
21,49.381607,-121.434788,52.5,2013/06/23,12:49:55
22,49.381292,-121.434531,52.5,2013/06/23,12:50:08
23,49.380954,-121.434206,52.5,2013/06/23,12:50:21
24,49.380718,-121.433989,52.5,2013/06/23,12:50:32
25,49.380559,-121.433825,53.0,2013/06/23,12:50:40
26,49.380540,-121.433813,53.0,2013/06/23,12:50:42
27,49.380640,-121.433928,52.5,2013/06/23,12:50:52
28,49.380686,-121.433941,52.5,2013/06/23,12:50:55
29,49.380754,-121.434062,52.5,2013/06/23,12:51:09
30,49.380754,-121.434062,52.0,2013/06/23,12:51:35
31,49.380753,-121.434063,52.5,2013/06/23,12:51:55
32,49.380753,-121.434061,52.5,2013/06/23,12:52:27
33,49.380753,-121.434061,52.0,2013/06/23,12:52:56
34,49.380753,-121.434058,52.5,2013/06/23,12:53:26
35,49.380753,-121.434063,52.5,2013/06/23,12:53:44
36,49.380753,-121.434063,52.5,2013/06/23,12:54:06
37,49.380747,-121.434076,52.5,2013/06/23,12:54:33
38,49.380747,-121.434076,52.5,2013/06/23,12:55:02
39,49.380759,-121.434053,52.5,2013/06/23,12:55:17
40,49.380726,-121.434039,52.5,2013/06/23,12:55:25
41,49.380627,-121.433955,52.5,2013/06/23,12:55:32
42,49.380310,-121.433629,54.0,2013/06/23,12:55:46
43,49.379888,-121.433282,55.4,2013/06/23,12:56:02
44,49.379489,-121.432957,56.4,2013/06/23,12:56:18
45,49.379225,-121.432727,56.9,2013/06/23,12:56:31
46,49.378835,-121.432381,57.3,2013/06/23,12:56:46
47,49.378340,-121.431971,56.9,2013/06/23,12:57:02
48,49.377885,-121.431537,56.9,2013/06/23,12:57:17
49,49.377415,-121.431144,56.9,2013/06/23,12:57:34
50,49.377032,-121.430816,56.9,2013/06/23,12:57:49
51,49.376753,-121.430515,56.9,2013/06/23,12:58:01
52,49.376349,-121.430067,56.4,2013/06/23,12:58:17
53,49.376087,-121.429612,56.4,2013/06/23,12:58:30
54,49.375698,-121.429403,56.9,2013/06/23,12:58:43
55,49.375548,-121.429059,56.9,2013/06/23,12:58:53
56,49.375522,-121.428265,57.8,2013/06/23,12:59:09
57,49.375462,-121.427386,58.8,2013/06/23,12:59:27
58,49.375408,-121.426656,59.3,2013/06/23,12:59:42
59,49.375353,-121.426059,60.2,2013/06/23,12:59:56
60,49.375284,-121.425272,61.2,2013/06/23,13:00:14
61,49.375208,-121.424416,62.1,2013/06/23,13:00:33
