No,Latitude,Longitude,Altitude,Date,Time
1,48.171567,-94.511338,367.4,2013/07/27,09:57:34
2,48.171567,-94.511338,367.4,2013/07/27,09:57:38
3,48.171216,-94.511290,367.4,2013/07/27,09:57:50
4,48.170900,-94.511316,367.8,2013/07/27,09:57:58
5,48.170843,-94.511493,367.8,2013/07/27,09:58:03
6,48.170841,-94.512113,367.8,2013/07/27,09:58:16
7,48.170820,-94.512559,367.4,2013/07/27,09:58:24
8,48.170739,-94.512701,367.4,2013/07/27,09:58:27
9,48.170581,-94.512792,367.4,2013/07/27,09:58:31
10,48.169670,-94.512805,367.4,2013/07/27,09:58:50
11,48.168660,-94.512805,367.4,2013/07/27,09:59:09
12,48.168499,-94.512799,367.4,2013/07/27,09:59:12
13,48.167576,-94.512786,367.4,2013/07/27,09:59:29
14,48.166426,-94.512775,367.4,2013/07/27,09:59:50
15,48.165736,-94.512785,367.4,2013/07/27,10:00:03
16,48.164925,-94.512780,367.4,2013/07/27,10:00:18
17,48.164702,-94.512779,368.3,2013/07/27,10:00:22
18,48.163820,-94.512769,368.8,2013/07/27,10:00:37
19,48.162793,-94.512757,368.8,2013/07/27,10:00:55
20,48.161602,-94.512757,368.3,2013/07/27,10:01:16
21,48.160701,-94.512663,368.3,2013/07/27,10:01:32
22,48.159664,-94.512363,367.8,2013/07/27,10:01:50
23,48.158812,-94.511956,367.8,2013/07/27,10:02:05
24,48.157917,-94.511442,367.8,2013/07/27,10:02:21
25,48.157069,-94.510986,367.8,2013/07/27,10:02:37
26,48.155867,-94.510575,367.4,2013/07/27,10:02:57
27,48.154755,-94.510441,367.8,2013/07/27,10:03:15
28,48.154627,-94.510438,367.4,2013/07/27,10:03:17
29,48.153488,-94.510431,367.4,2013/07/27,10:03:35
30,48.152245,-94.510424,367.8,2013/07/27,10:03:55
31,48.150865,-94.510425,368.3,2013/07/27,10:04:17
32,48.149565,-94.510414,367.8,2013/07/27,10:04:38
33,48.148256,-94.510405,368.3,2013/07/27,10:04:59
34,48.147103,-94.510396,368.3,2013/07/27,10:05:18
35,48.146020,-94.510396,368.3,2013/07/27,10:05:36
36,48.144937,-94.510386,368.8,2013/07/27,10:05:54
37,48.143692,-94.510381,368.3,2013/07/27,10:06:15
38,48.142727,-94.510362,368.8,2013/07/27,10:06:31
